序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
590,300666,江丰电子,82.35,1.44,1.17,153317.0,1235561005.6,4.56,82.4,78.7,82.2,81.18,1.09,6.93,43.24,4.64,21849158245.0,18212288256.0,0.1,0.06,10.14,19.09
609,300763,锦浪科技,82.62,1.36,1.11,222252.0,1828630353.46,5.94,84.85,80.01,80.8,81.51,0.78,6.91,27.31,3.72,32892165874.0,26563082255.0,0.01,-0.02,44.92,35.73
1540,603049,中策橡胶,50.5,-0.59,-0.3,58185.0,292856983.0,3.46,51.38,49.62,50.44,50.8,0.86,6.86,9.51,2.03,44161522699.0,4283582256.0,-0.02,-0.08,16.76,11.73
4121,002241,歌尔股份,34.15,-2.82,-0.99,2116981.0,7221862678.93,7.97,35.8,33.0,35.65,35.14,1.23,6.84,42.19,3.53,119543936004.0,105638812358.0,-0.03,-0.23,47.2,33.09
4961,002273,水晶光电,26.9,-4.24,-1.19,906865.0,2432506970.91,5.48,27.55,26.01,27.4,28.09,1.27,6.66,37.36,4.04,37408006745.0,36643498873.0,0.04,0.04,35.58,22.72
4697,600487,亨通光电,22.04,-3.63,-0.83,1616446.0,3579084467.0,7.61,23.3,21.56,23.1,22.87,0.99,6.61,16.85,1.82,54366831840.0,53891791995.0,0.0,0.09,44.52,29.72
857,002409,雅克科技,67.08,0.65,0.43,206438.0,1366371701.17,3.18,67.35,65.23,67.19,66.65,0.91,6.48,30.53,4.17,31925228640.0,21366505869.0,0.09,0.21,22.63,16.28
1390,000887,中鼎股份,25.28,-0.43,-0.11,832961.0,2102998210.52,4.69,25.77,24.58,25.5,25.39,0.68,6.34,20.36,2.43,33280860804.0,33227288970.0,0.04,0.16,43.55,94.91
318,300502,新易盛,353.0,2.92,10.0,555747.0,19658323223.47,9.27,369.8,338.0,361.11,343.0,1.24,6.28,44.5,28.95,350872240256.0,312543372470.0,-0.25,0.23,177.52,329.23
275,000400,许继电气,24.35,3.27,0.77,620920.0,1495669484.64,4.62,24.5,23.41,23.55,23.58,1.87,6.14,19.57,2.1,24806545674.0,24634925657.0,0.0,0.04,13.41,-10.81
4554,000938,紫光股份,29.44,-3.38,-1.03,1691841.0,4997641496.63,7.45,30.95,28.68,30.79,30.47,0.94,5.92,40.45,5.97,84200751491.0,84200751491.0,0.0,-0.1,23.44,6.05
876,002085,万丰奥威,18.55,0.6,0.11,1243698.0,2263210683.55,4.61,18.6,17.75,18.41,18.44,1.31,5.86,39.34,5.26,39387168996.0,39387168996.0,0.27,0.32,17.85,-1.59
333,300014,亿纬锂能,73.81,2.79,2.0,1079491.0,8032203461.01,7.09,76.88,71.79,71.81,71.81,1.34,5.8,47.03,3.92,150994703694.0,137392491221.0,0.04,-0.01,63.4,60.46
777,000737,北方铜业,14.12,0.86,0.12,1101008.0,1540763691.48,4.5,14.35,13.72,13.81,14.0,0.55,5.78,27.61,4.12,26894596062.0,26892078819.0,0.21,0.14,23.64,83.62
3787,603920,世运电路,46.14,-2.47,-1.17,410692.0,1898633691.0,7.65,48.3,44.68,48.08,47.31,0.69,5.7,43.27,5.16,33246032443.0,33246032443.0,0.0,-0.02,53.75,60.21
4217,603236,移远通信,100.81,-2.92,-3.03,145034.0,1453795437.0,6.26,104.48,97.98,104.0,103.84,1.12,5.54,27.99,5.99,26377708100.0,26377708100.0,0.06,-0.05,15.3,49.41
1047,002484,江海股份,32.59,0.18,0.06,440991.0,1454240596.13,8.95,34.49,31.58,34.35,32.53,1.15,5.37,38.66,4.63,27718575237.0,26739191116.0,0.18,0.28,58.2,88.16
1811,002236,大华股份,19.66,-0.86,-0.17,1130903.0,2224693745.38,5.04,20.27,19.27,20.18,19.83,0.92,5.34,13.05,1.74,64617614585.0,41599813903.0,0.1,0.1,24.19,26.51
1415,603799,华友钴业,52.48,-0.46,-0.24,971887.0,5116947394.0,5.48,54.17,51.28,52.1,52.72,1.04,5.31,17.86,2.15,96846379981.0,96049032448.0,0.06,0.19,37.82,82.41
4392,300100,双林股份,45.57,-3.13,-1.47,288844.0,1319497364.46,6.04,47.29,44.45,46.85,47.04,0.58,5.23,45.37,8.89,26065262576.0,25144889524.0,-0.02,0.0,-3.37,131.91
4556,000063,中兴通讯,43.5,-3.38,-1.52,2103793.0,9153775170.35,6.77,45.3,42.25,45.03,45.02,1.13,5.22,20.57,2.78,208083767585.0,175190163350.0,0.0,0.18,33.27,9.35
880,002518,科士达,40.11,0.58,0.23,289439.0,1167455992.18,7.05,41.62,38.81,40.66,39.88,0.91,5.12,45.73,5.23,23353048520.0,22667782006.0,0.07,0.28,78.98,79.87
4113,601059,信达证券,18.67,-2.81,-0.54,350245.0,654022326.0,3.23,19.02,18.4,19.0,19.21,0.7,5.06,29.56,2.99,60546810000.0,12912172000.0,0.0,-0.16,10.47,24.88
941,600930,华电新能,6.4,0.47,0.03,1244301.0,795170000.0,2.2,6.48,6.34,6.39,6.37,0.57,4.97,21.39,2.51,266971428570.0,16033121613.0,-0.16,-0.16,101.26,101.26
4680,600839,四川长虹,10.72,-3.6,-0.4,2250215.0,2406216265.0,5.67,11.11,10.48,11.11,11.12,0.88,4.88,49.4,3.31,49486138060.0,49472356524.0,0.09,-0.09,9.95,11.67
5006,600021,上海电力,18.8,-4.37,-0.86,1344388.0,2577860407.0,8.65,20.17,18.47,19.47,19.66,0.88,4.77,13.87,2.57,52954780526.0,52954780526.0,0.11,-0.05,111.24,111.47
259,002850,科达利,179.78,3.45,6.0,91760.0,1631938295.71,6.84,183.88,172.0,174.65,173.78,0.87,4.66,31.96,4.09,49171040459.0,35387480448.0,0.07,0.45,64.41,87.9
4370,301345,涛涛车业,217.98,-3.1,-6.98,13380.0,293325285.33,4.64,224.88,214.44,221.98,224.96,0.6,4.6,34.73,7.54,23770516497.0,6334051069.0,0.1,-0.01,77.94,248.16
227,600933,爱柯迪,23.59,3.92,0.89,447953.0,1056445652.0,8.11,24.28,22.44,22.44,22.7,0.97,4.58,20.28,2.74,23239020360.0,23056150680.0,0.43,0.68,48.65,47.44
606,600089,特变电工,16.32,1.37,0.22,2291459.0,3738115351.0,4.47,16.68,15.96,16.21,16.1,0.9,4.54,12.95,1.24,82461574759.0,82461574759.0,0.0,0.12,39.85,30.66
1157,601061,中信金属,8.93,0.0,0.0,226905.0,200112283.0,3.14,8.95,8.67,8.93,8.93,0.96,4.53,15.11,1.94,43757000000.0,4475303854.0,0.0,-0.11,12.19,25.95
915,600988,赤峰黄金,28.95,0.52,0.15,752248.0,2186157604.0,5.52,29.8,28.21,29.3,28.8,1.15,4.52,24.85,4.74,55016903603.0,48170234393.0,0.07,-0.1,14.38,87.38
4862,002429,兆驰股份,6.79,-3.96,-0.28,2035301.0,1386898802.99,7.5,7.15,6.62,7.08,7.07,0.92,4.5,23.23,1.91,30737926722.0,30720221192.0,0.0,-0.15,54.67,19.75
4130,600114,东睦股份,32.26,-2.83,-0.94,274614.0,887277949.0,6.3,33.59,31.5,33.2,33.2,0.67,4.46,39.03,6.66,20368430968.0,19884530968.0,0.12,0.06,58.68,103.28
1185,603290,斯达半导,108.08,-0.1,-0.11,106364.0,1122369497.0,4.93,108.23,102.9,107.6,108.19,1.19,4.44,46.98,3.8,25882292205.0,25882292205.0,0.0,-0.12,32.92,21.19
234,300251,光线传媒,19.42,3.85,0.72,1230473.0,2351007504.62,5.35,19.45,18.45,18.67,18.7,1.83,4.42,12.78,5.49,56970675749.0,54012909736.0,0.0,0.0,-1.57,110.17
1395,002126,银轮股份,41.9,-0.43,-0.18,343550.0,1454450812.08,6.7,43.82,41.0,42.46,42.08,0.66,4.38,39.63,5.38,34978002010.0,32857692440.0,0.05,0.17,75.61,125.27
1443,002739,万达电影,12.27,-0.49,-0.06,905688.0,1103893416.93,3.57,12.43,11.99,12.34,12.33,0.97,4.34,24.18,3.45,25911524747.0,25588528151.0,-0.24,0.0,6.51,1.07
265,603650,彤程新材,37.77,3.39,1.24,258397.0,950942933.0,5.15,37.88,36.0,36.56,36.53,1.56,4.33,32.23,6.95,22622547535.0,22559550272.0,0.32,0.32,15.89,9.57
3264,300017,网宿科技,11.23,-2.01,-0.23,979268.0,1091602564.37,5.06,11.5,10.92,11.48,11.46,1.15,4.27,36.87,2.8,27465576727.0,25743926225.0,0.27,0.27,6.45,8.82
1539,601137,博威合金,25.49,-0.59,-0.15,346234.0,876133282.0,5.81,26.09,24.6,25.97,25.64,1.03,4.26,15.33,2.43,20733734820.0,20709264420.0,0.35,0.51,42.64,28.74
4018,002463,沪电股份,77.9,-2.7,-2.16,805348.0,6371309625.81,11.74,84.45,75.05,82.98,80.06,1.28,4.19,44.53,11.76,149878304913.0,149757322240.0,0.03,-0.15,76.6,98.98
3846,000528,柳    工,10.82,-2.52,-0.28,833751.0,895736768.56,4.77,11.09,10.56,11.08,11.1,1.15,4.11,8.93,1.22,21968615583.0,21960627318.0,0.0,0.0,12.47,-8.23
892,002487,大金重工,44.21,0.57,0.25,258079.0,1139362234.97,7.35,46.09,42.86,44.0,43.96,0.93,4.09,25.8,3.63,28194898719.0,27892984960.0,0.07,-0.05,32.76,116.61
4700,300144,宋城演艺,8.99,-3.64,-0.34,955336.0,859093330.37,4.39,9.26,8.85,9.24,9.33,0.75,4.06,29.5,2.95,23577290331.0,21176186328.0,-0.11,-0.11,5.64,-1.1
4161,300059,东方财富,26.12,-2.86,-0.77,5378856.0,14045065628.6,3.31,26.59,25.7,26.57,26.89,0.92,4.02,37.07,4.82,412801464071.0,349391202529.0,0.04,0.04,14.16,1.4
273,300677,英科医疗,36.43,3.29,1.16,186343.0,679243916.26,7.0,37.53,35.06,35.39,35.27,1.69,4.01,16.79,1.31,23854136057.0,16944121636.0,-0.22,-0.33,49.49,44.68
2710,001696,宗申动力,24.47,-1.61,-0.4,352034.0,854030498.63,4.02,24.79,23.79,24.75,24.87,0.99,3.95,27.71,5.35,28018808732.0,21812514566.0,-0.04,-0.08,9.78,-0.93
3830,300866,安克创新,123.08,-2.51,-3.17,119042.0,1456929331.16,4.36,125.57,120.06,121.0,126.25,1.66,3.94,28.28,7.03,65990278023.0,37166918196.0,0.3,0.19,9.81,28.96
759,300002,神州泰岳,14.34,0.91,0.13,723441.0,1027205006.59,3.8,14.45,13.91,14.21,14.21,0.77,3.92,27.68,3.83,28209273238.0,26486717936.0,0.0,0.07,23.51,24.8
4569,603296,华勤技术,98.51,-3.4,-3.47,221412.0,2182895550.0,6.4,102.68,96.15,102.08,101.98,0.88,3.87,26.49,4.24,100061983676.0,56310168973.0,0.0,-0.21,24.02,40.63
299,600535,天士力,16.19,3.06,0.48,577227.0,935770362.0,3.63,16.5,15.93,16.44,15.71,4.01,3.86,15.61,1.95,24187050581.0,24187050581.0,0.0,0.06,3.12,13.53
811,002138,顺络电子,36.15,0.78,0.28,287137.0,1022815532.77,4.82,36.57,34.84,36.0,35.87,0.99,3.8,30.0,4.7,29148408497.0,27347786685.0,0.36,0.56,29.11,17.03
2042,002155,湖南黄金,21.71,-1.09,-0.24,578616.0,1270118950.35,3.55,22.34,21.56,22.2,21.95,0.95,3.7,25.87,4.65,33925160070.0,33922097679.0,0.0,-0.14,18.76,82.13
4534,300759,康龙化成,34.07,-3.35,-1.18,503780.0,1709628811.7,6.3,35.22,33.0,35.0,35.25,0.92,3.55,43.19,4.25,60583121537.0,48358433765.0,-0.03,-0.03,38.61,33.61
1626,002340,格林美,7.41,-0.67,-0.05,1805749.0,1335114037.94,4.42,7.57,7.24,7.45,7.46,1.01,3.55,23.76,1.89,37971056012.0,37686908255.0,0.27,0.14,17.99,14.71
1876,300037,新宙邦,46.0,-0.93,-0.43,189094.0,871140294.9,7.54,48.25,44.75,46.54,46.43,0.86,3.5,35.55,3.55,34397841498.0,24851778530.0,0.24,0.11,33.26,24.19
223,601001,晋控煤业,14.66,3.97,0.56,572614.0,829237851.0,8.16,14.89,13.74,14.14,14.1,1.24,3.42,14.0,1.34,24536442000.0,24536442000.0,-0.2,-0.27,29.05,13.47
3421,000878,云南铜业,15.05,-2.15,-0.33,682525.0,1031521785.72,5.2,15.57,14.77,15.31,15.38,0.58,3.41,11.45,1.96,30154606066.0,30154077314.0,0.13,0.13,15.86,25.94
4615,000657,中钨高新,17.35,-3.5,-0.63,427852.0,746258833.37,6.9,18.22,16.98,17.98,17.98,0.85,3.41,38.74,4.15,39539858493.0,21774721018.0,0.0,-0.06,42.8,91.71
413,601717,中创智领,25.17,2.28,0.56,504327.0,1265824912.0,5.28,25.8,24.5,25.06,24.61,1.29,3.27,8.93,2.04,44938516238.0,38816311424.0,-0.12,-0.04,63.02,112.23
4367,002202,金风科技,13.12,-3.1,-0.42,1095044.0,1442446454.03,4.73,13.56,12.92,13.42,13.54,0.79,3.26,18.63,1.48,55432887529.0,44021761388.0,0.0,0.0,28.88,28.75
4496,300285,国瓷材料,21.76,-3.29,-0.74,274299.0,595789948.28,6.04,22.56,21.2,22.56,22.5,1.17,3.26,32.7,3.14,21695770986.0,18307663871.0,0.0,-0.14,26.73,29.22
469,600489,中金黄金,20.37,1.95,0.39,1532240.0,3106244220.0,4.75,20.82,19.87,20.37,19.98,1.33,3.16,18.32,3.49,98739756929.0,98739756929.0,0.05,0.34,40.58,75.0
4820,605589,圣泉集团,32.43,-3.88,-1.31,241845.0,790342688.0,7.41,34.29,31.79,33.82,33.74,1.18,3.11,27.4,2.76,27448816795.0,25248726744.0,0.0,0.03,13.31,40.69
2009,001391,国货航,6.6,-1.05,-0.07,267030.0,175986356.69,1.8,6.67,6.55,6.67,6.67,0.96,3.11,32.49,3.16,80578616085.0,5667850716.0,0.0,0.15,-1.49,-27.87
3423,689009,九号公司-WD,66.79,-2.15,-1.47,169898.0,1126596631.0,5.24,68.18,64.6,67.58,68.26,1.0,3.09,19.27,7.02,47853752164.0,36767715602.0,-0.01,-0.3,12.95,44.01
1310,300373,扬杰科技,67.55,-0.32,-0.22,167415.0,1116618052.93,4.37,68.38,65.42,67.76,67.77,1.0,3.09,30.52,4.13,36703143012.0,36622087943.0,-0.01,0.07,27.26,58.2
3309,603659,璞泰来,26.6,-2.06,-0.56,638464.0,1703417141.0,5.27,27.47,26.04,27.16,27.16,0.99,2.99,26.92,2.98,56828215422.0,56828215422.0,0.08,0.04,45.43,69.0
207,002920,德赛西威,139.03,4.2,5.6,164930.0,2293804985.13,6.73,142.98,134.0,134.01,133.43,1.18,2.98,31.55,8.01,77154601318.0,76902471942.0,0.03,0.05,36.14,27.66
2122,002049,紫光国微,79.26,-1.15,-0.92,252477.0,1985271342.2,3.39,80.18,77.46,80.07,80.18,0.93,2.97,48.66,5.3,67341166377.0,67325330229.0,0.06,-0.14,20.97,23.53
4641,300316,晶盛机电,38.09,-3.55,-1.4,361041.0,1384142969.47,5.04,39.5,37.51,39.5,39.49,0.76,2.93,39.03,2.91,49880142328.0,46909946443.0,0.0,0.03,40.45,20.92
203,600637,XD东方明,8.87,4.23,0.36,980148.0,846534516.0,8.34,9.01,8.3,8.65,8.51,2.07,2.92,43.3,1.0,29820051377.0,29820051377.0,0.11,-0.11,22.85,17.8
3717,301301,川宁生物,11.03,-2.39,-0.27,179478.0,198140295.0,4.42,11.39,10.89,11.39,11.3,1.15,2.91,27.04,3.17,24597837550.0,6814139398.0,-0.09,0.0,-9.96,-4.83
2685,002624,完美世界,18.57,-1.59,-0.3,530665.0,984600385.66,5.09,19.08,18.12,18.81,18.87,0.64,2.9,35.8,5.21,36025213262.0,33941002571.0,0.54,0.43,22.57,83.86
1307,300751,迈为股份,87.85,-0.32,-0.28,56004.0,490454561.19,5.88,90.35,85.17,88.11,88.13,0.93,2.9,31.16,3.23,24545729777.0,16986009131.0,-0.06,-0.13,27.39,-15.57
447,605117,德业股份,70.79,2.09,1.45,260577.0,1830857572.0,3.94,71.67,68.94,68.94,69.34,1.15,2.88,21.03,6.82,64025882486.0,64025882486.0,0.06,0.14,34.86,20.58
4780,002312,川发龙蟒,10.62,-3.8,-0.42,540155.0,575891053.85,5.8,11.09,10.45,11.07,11.04,1.3,2.87,42.02,2.13,20064776134.0,20006159883.0,0.0,0.09,-6.84,-25.89
1168,300679,电连技术,56.97,-0.05,-0.03,102979.0,580608011.22,5.11,58.09,55.18,56.99,57.0,0.52,2.87,49.87,4.87,24201995400.0,20460505405.0,0.02,-0.18,23.93,-3.82
528,000426,兴业银锡,27.03,1.69,0.45,506541.0,1369105242.83,5.08,27.75,26.4,27.58,26.58,0.89,2.85,30.16,5.68,47995434025.0,47983803692.0,0.0,0.04,67.99,144.62
2316,603613,国联股份,29.59,-1.33,-0.4,204370.0,599391075.0,4.3,30.08,28.79,29.94,29.99,0.93,2.84,15.67,2.51,21320713887.0,21320713887.0,0.17,0.07,26.94,11.62
449,002517,恺英网络,27.44,2.08,0.56,534772.0,1455715692.36,5.36,27.94,26.5,26.8,26.88,0.97,2.83,30.85,7.15,58624002341.0,51835412581.0,0.22,0.51,37.34,103.11
2768,603341,龙旗科技,44.65,-1.65,-0.75,75022.0,334258500.0,4.03,45.65,43.82,45.65,45.4,0.6,2.82,29.47,3.76,20957885940.0,11886402904.0,0.11,0.0,11.24,-3.48
4264,600549,厦门钨业,27.7,-2.98,-0.85,437712.0,1218234230.0,5.92,28.87,27.18,28.56,28.55,0.83,2.82,22.62,2.7,43976127380.0,43043915846.0,0.14,0.04,31.53,46.95
4578,002423,中粮资本,13.3,-3.41,-0.47,647724.0,860665689.51,3.92,13.6,13.06,13.55,13.77,0.61,2.81,18.08,1.4,30644604148.0,30644604148.0,-0.08,0.0,11.76,0.53
3083,600702,舍得酒业,62.05,-1.9,-1.2,93585.0,581979450.0,3.42,63.52,61.36,63.0,63.25,0.79,2.81,23.29,2.93,20647688442.0,20639001442.0,0.0,-0.1,23.07,-5.28
408,601665,齐鲁银行,5.77,2.3,0.13,1709046.0,986286125.0,5.14,5.85,5.56,5.62,5.64,2.03,2.78,6.49,0.75,35507671369.0,35507671369.0,0.0,0.17,-11.23,8.46
4123,000750,国海证券,4.47,-2.83,-0.13,1593023.0,710267863.23,3.26,4.56,4.41,4.56,4.6,0.61,2.75,38.6,1.28,28546199912.0,25909031777.0,0.0,0.0,9.56,5.18
4909,601696,中银证券,14.33,-4.08,-0.61,758249.0,1090432626.0,4.89,14.83,14.1,14.8,14.94,1.21,2.73,35.23,2.15,39808740000.0,39808740000.0,0.0,0.0,35.06,28.64
1013,600711,盛屯矿业,8.2,0.24,0.02,836977.0,683593545.0,2.44,8.25,8.05,8.09,8.18,0.87,2.71,12.04,1.56,25343014718.0,25343014718.0,0.0,0.12,24.43,70.12
3547,603501,豪威集团,143.0,-2.26,-3.31,324923.0,4627929828.0,4.44,146.18,139.68,145.58,146.31,0.91,2.69,42.52,6.64,172459513655.0,172459513655.0,0.02,0.0,12.19,37.25
1937,600737,中粮糖业,16.97,-0.99,-0.17,571962.0,963143510.0,7.0,17.52,16.32,17.18,17.14,1.06,2.67,40.8,3.35,36296254429.0,36296254429.0,0.12,-0.29,86.48,73.16
594,600312,平高电气,15.76,1.42,0.22,357884.0,559971724.0,3.15,15.83,15.34,15.51,15.54,1.68,2.64,16.08,1.93,21385079830.0,21385079830.0,0.0,0.06,3.48,-17.27
2214,002683,广东宏大,44.44,-1.24,-0.56,173375.0,764593050.36,4.51,45.48,43.45,45.02,45.0,0.64,2.63,33.51,5.17,33774499857.0,29347517932.0,0.14,0.43,31.79,70.73
4167,000661,长春高新,118.6,-2.87,-3.5,104753.0,1247884238.63,4.41,122.39,117.0,121.75,122.1,0.85,2.62,24.61,2.12,48381390939.0,47395454552.0,0.05,0.08,21.72,22.42
4831,603259,药明康德,104.78,-3.9,-4.25,643314.0,6771720869.0,6.46,109.73,102.69,108.5,109.03,1.38,2.6,18.06,5.16,309258875798.0,259150304176.0,-0.16,0.07,48.2,95.08
2976,000630,铜陵有色,4.3,-1.83,-0.08,2818210.0,1210172391.24,4.79,4.42,4.21,4.39,4.38,0.89,2.56,19.83,1.6,57133977493.0,47388199235.0,0.0,0.0,26.47,37.38
728,300124,汇川技术,82.6,0.99,0.81,602815.0,4962073797.77,3.9,83.94,80.75,81.8,81.79,0.9,2.55,37.56,7.36,222994944694.0,195416663772.0,0.13,0.27,28.62,42.0
2368,300413,芒果超媒,31.75,-1.37,-0.44,257831.0,810978764.97,5.22,32.56,30.88,32.2,32.19,0.83,2.52,38.9,2.6,59395385876.0,32438973667.0,0.06,0.06,48.5,19.05
213,603444,吉比特,578.99,4.1,22.8,18145.0,1032150838.0,4.82,579.55,552.73,556.43,556.19,1.13,2.52,32.35,7.88,41711077068.0,41711077068.0,0.02,0.13,84.44,177.32
4444,600521,华海药业,21.7,-3.21,-0.72,363929.0,790073865.0,5.71,22.49,21.21,22.13,22.42,1.02,2.5,39.67,3.36,32490355640.0,31597351533.0,0.23,0.09,11.57,23.16
2504,600183,生益科技,58.63,-1.46,-0.87,595559.0,3525682945.0,10.55,62.68,56.4,62.32,59.5,1.2,2.49,49.92,10.02,142427685586.0,140389625525.0,-0.02,-0.05,92.23,150.02
3243,603087,甘李药业,72.13,-2.0,-1.47,136005.0,981953327.0,5.65,74.94,70.78,73.15,73.6,0.89,2.44,35.7,3.93,43099497653.0,40238339375.0,0.01,-0.08,27.48,67.32
329,603596,伯特利,52.64,2.81,1.44,146714.0,760252260.0,3.61,52.8,50.95,51.21,51.2,0.65,2.42,30.56,4.59,31926729565.0,31926729565.0,0.02,0.23,3.91,18.99
4905,000997,新 大 陆,26.86,-4.07,-1.14,240104.0,643409910.73,6.04,27.9,26.21,27.84,28.0,1.29,2.38,22.85,3.86,27211809997.0,27059821774.0,0.0,0.15,-15.0,36.07
4082,002939,长城证券,11.22,-2.77,-0.32,847652.0,944943888.55,3.12,11.39,11.03,11.35,11.54,0.6,2.35,16.35,1.45,45266270446.0,40421841060.0,0.09,0.18,34.69,38.35
878,300408,三环集团,50.0,0.6,0.3,437407.0,2174070819.8,7.87,52.0,48.09,50.97,49.7,0.96,2.34,38.73,4.72,95824868550.0,93490400850.0,0.28,0.02,52.49,31.13
221,002602,ST华通,20.6,3.99,0.79,1602571.0,3221127483.17,4.29,20.6,19.75,20.1,19.81,0.92,2.34,28.8,5.38,153018512231.0,141197229114.0,0.44,0.49,84.59,300.78
1506,600176,中国巨石,16.06,-0.56,-0.09,927578.0,1484429985.0,4.33,16.48,15.78,16.16,16.15,1.22,2.32,19.05,2.09,64290375852.0,64290375852.0,0.0,0.0,35.19,44.04
4930,601888,中国中免,70.01,-4.15,-3.03,453110.0,3203215402.0,4.04,72.64,69.69,72.52,73.04,0.93,2.32,27.86,2.62,144840821670.0,136692812835.0,-0.01,-0.21,15.51,6.14
1737,300012,华测检测,12.66,-0.78,-0.1,331727.0,419926252.98,5.09,13.08,12.43,12.8,12.76,1.09,2.32,22.8,2.95,21304605189.0,18126204250.0,0.16,0.16,8.86,2.68
346,300919,中伟股份,44.6,2.67,1.16,211057.0,915179904.15,5.99,44.6,42.0,43.2,43.44,1.13,2.31,28.55,2.05,41836069227.0,40700958462.0,0.0,0.22,37.02,24.69
709,000157,中联重科,7.8,1.04,0.08,1635889.0,1265233130.52,2.72,7.83,7.62,7.72,7.72,0.96,2.31,12.2,1.18,67458574841.0,55149255431.0,0.0,0.13,12.55,12.55
279,601018,宁波港,3.82,3.24,0.12,3591855.0,1376355950.0,7.57,3.97,3.69,3.71,3.7,2.9,2.27,14.31,0.94,74315763684.0,60384334353.0,0.0,0.0,3.8,2.14
2345,002468,申通快递,18.79,-1.36,-0.26,332351.0,618948170.46,4.62,19.11,18.23,18.71,19.05,1.03,2.27,31.73,2.89,28763772699.0,27568687361.0,0.7,0.8,73.18,86.78
1990,601615,明阳智能,13.39,-1.03,-0.14,512267.0,679587972.0,3.84,13.53,13.01,13.48,13.53,0.83,2.26,24.93,1.16,30415340893.0,30415340893.0,0.07,-0.07,18.39,8.69
884,600835,上海机电,27.73,0.58,0.16,182040.0,494214159.0,5.91,27.89,26.26,27.58,27.57,0.77,2.26,28.9,2.03,28360561011.0,22364364239.0,0.04,0.4,28.5,56.67
3163,002271,东方雨虹,12.09,-1.95,-0.24,426459.0,514580572.52,4.62,12.48,11.91,12.39,12.33,0.8,2.23,25.58,1.4,28879381380.0,23152127822.0,0.0,-0.08,24.0,8.63
3493,002821,凯莱英,108.65,-2.22,-2.47,70366.0,763076356.66,5.42,111.93,105.91,110.66,111.12,0.77,2.22,31.73,2.29,39178507678.0,34443887597.0,0.0,0.14,21.34,44.89
3637,002410,广联达,13.43,-2.33,-0.32,347155.0,464639755.24,3.71,13.73,13.22,13.71,13.75,1.12,2.19,46.77,3.79,22185612513.0,21327928891.0,0.07,0.0,1.9,15.68
2746,000581,威孚高科,21.72,-1.63,-0.36,174215.0,376946537.15,3.22,22.06,21.35,22.04,22.08,0.74,2.19,14.96,1.07,20998585252.0,17242792304.0,0.05,-0.05,14.92,20.6
2114,000100,TCL科技,4.32,-1.14,-0.05,3943811.0,1692409674.42,3.66,4.38,4.22,4.36,4.37,0.9,2.18,23.85,1.44,89859725771.0,78177942271.0,0.0,0.0,0.0,-13.25
3802,000960,锡业股份,20.07,-2.48,-0.51,358999.0,722297545.74,5.54,20.85,19.71,20.53,20.58,1.02,2.18,15.55,1.7,33031245177.0,33031245177.0,-0.1,-0.15,28.98,46.07
3306,002797,第一创业,7.65,-2.05,-0.16,916456.0,699468580.97,3.46,7.79,7.52,7.78,7.81,0.75,2.18,33.11,1.89,32148360000.0,32148360000.0,-0.13,0.0,8.66,-7.72
305,601939,建设银行,8.85,3.03,0.26,2062304.0,1809684089.0,4.66,8.9,8.5,8.56,8.59,1.56,2.15,7.14,0.69,2315163375912.0,84903869813.0,0.11,0.0,-8.86,5.48
4277,300628,亿联网络,36.99,-2.99,-1.14,152980.0,567364668.22,5.19,38.38,36.4,38.29,38.13,0.85,2.11,18.89,5.88,46856375510.0,26843537468.0,-0.08,-0.13,6.42,-0.83
1277,300003,乐普医疗,17.83,-0.28,-0.05,340471.0,608603556.33,5.98,18.5,17.43,17.96,17.88,0.84,2.11,24.27,2.19,33531308144.0,28815047381.0,0.06,0.17,21.54,61.36
1302,000733,振华科技,49.01,-0.31,-0.15,114609.0,559486337.37,3.32,49.84,48.21,49.3,49.16,0.74,2.07,43.53,1.81,27159843813.0,27156182766.0,0.02,-0.1,-2.06,16.72
4472,002152,广电运通,13.64,-3.26,-0.46,509620.0,693368231.69,5.04,14.07,13.36,14.04,14.1,0.85,2.05,36.35,2.7,33873342729.0,33856303845.0,0.0,0.0,3.26,19.02
3263,002203,海亮股份,12.19,-2.01,-0.25,447001.0,548556396.08,4.5,12.65,12.09,12.44,12.44,1.12,2.03,19.44,1.71,27665485163.0,26810604083.0,-0.16,0.0,19.63,15.22
1345,603160,汇顶科技,80.49,-0.37,-0.3,92158.0,733957059.0,3.71,81.0,78.0,80.8,80.79,1.16,1.99,43.19,4.12,37192757545.0,37192757545.0,0.11,0.25,13.06,0.42
1424,002080,中材科技,36.13,-0.47,-0.17,334544.0,1222890362.56,8.57,38.26,35.15,36.9,36.3,0.93,1.99,30.36,3.17,60630605090.0,60630605090.0,-0.03,0.22,68.44,180.95
249,835185,贝特瑞,32.55,3.6,1.13,219973.0,707298149.31,6.02,33.15,31.26,31.49,31.42,1.3,1.98,38.34,3.01,36694873025.0,36103581052.0,0.06,-0.03,42.51,69.44
937,000725,京东方Ａ,4.16,0.48,0.02,7129825.0,2932731471.1,3.14,4.18,4.05,4.15,4.14,1.21,1.94,23.97,1.17,155641742730.0,152697168836.0,0.0,0.0,4.26,-4.15
