序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
787,003816,中国广核,3.63,0.83,0.03,1457715.0,528160969.38,2.22,3.65,3.57,3.6,3.6,1.05,0.37,15.4,1.52,183309958293.0,142785999543.0,-0.27,0.0,0.83,-10.15
961,603737,三棵树,46.23,0.39,0.18,27638.0,126931358.0,2.13,46.49,45.51,46.15,46.05,0.77,0.37,39.13,11.6,34109301777.0,34109301777.0,-0.13,0.0,25.18,53.08
827,600900,长江电力,27.32,0.74,0.2,872473.0,2375221478.0,1.33,27.39,27.03,27.12,27.12,1.07,0.36,25.6,3.24,668471708001.0,655878247662.0,-0.04,-0.04,-7.83,-4.51
1051,601006,大秦铁路,6.05,0.17,0.01,728880.0,440268976.0,0.99,6.07,6.01,6.05,6.04,0.97,0.36,14.81,0.74,121890425182.0,121890425182.0,0.0,-0.17,-5.91,-8.89
660,601816,京沪高铁,5.22,1.16,0.06,1739654.0,904883451.0,1.94,5.24,5.14,5.16,5.16,1.19,0.36,20.22,1.26,255392046311.0,255392046311.0,0.0,-0.19,-6.95,-13.58
940,603568,伟明环保,19.08,0.47,0.09,60677.0,114749865.0,2.05,19.09,18.7,18.99,18.99,0.99,0.36,11.41,2.35,32522968911.0,32464126191.0,0.05,0.05,0.0,-9.79
1774,600663,陆家嘴,8.48,-0.82,-0.07,109416.0,92117547.0,2.69,8.56,8.33,8.53,8.55,0.91,0.35,26.18,1.71,42698103198.0,26760197454.0,-0.12,0.0,-3.96,-13.03
3774,600777,*ST新潮,3.59,-2.45,-0.09,214119.0,77317979.0,3.8,3.7,3.56,3.65,3.68,0.74,0.34,12.74,1.04,24413780012.0,22854487084.0,-0.28,-0.28,11.84,61.71
758,601800,中国交建,8.8,0.92,0.08,399878.0,350407705.0,1.95,8.83,8.66,8.73,8.72,1.18,0.34,7.49,0.49,143251780540.0,103650247580.0,0.0,0.0,1.15,-13.3
2001,002736,国信证券,13.26,-1.04,-0.14,314220.0,415357689.57,2.99,13.4,13.0,13.3,13.4,0.67,0.33,12.65,1.44,135805512976.0,127460813539.0,0.0,-0.08,15.61,22.21
1068,601766,中国中车,7.49,0.13,0.01,768151.0,571198790.0,2.01,7.53,7.38,7.46,7.48,1.03,0.32,14.83,1.26,214954492019.0,182215207380.0,0.0,0.13,9.99,-8.32
1377,600519,贵州茅台,1447.42,-0.41,-5.93,38663.0,5588384388.0,1.2,1457.5,1440.0,1450.5,1453.35,1.07,0.31,19.96,7.6,1812560954595.0,1812560954595.0,0.02,0.0,3.01,-3.27
1688,600299,安迪苏,9.39,-0.74,-0.07,81850.0,76561098.0,2.22,9.49,9.28,9.46,9.46,0.97,0.31,17.01,1.5,25183052953.0,25183052953.0,0.0,-0.21,-3.4,-24.09
1025,601825,沪农商行,8.61,0.23,0.02,279725.0,241369211.0,1.75,8.68,8.53,8.59,8.59,1.29,0.3,5.92,0.65,83038666671.0,80713940480.0,-0.12,-0.12,-12.94,3.49
3356,601066,中信建投,25.7,-2.1,-0.55,185600.0,476948652.0,2.51,26.11,25.45,26.11,26.25,0.85,0.29,22.11,2.5,199347056283.0,166938745600.0,-0.04,-0.04,8.16,0.43
1913,600346,恒力石化,16.46,-0.96,-0.16,206348.0,339252341.0,2.47,16.71,16.3,16.64,16.62,0.99,0.29,18.99,1.85,115863582478.0,115863582478.0,0.12,0.12,16.0,10.47
1834,600007,中国国贸,21.19,-0.89,-0.19,29062.0,61191841.0,2.62,21.4,20.84,21.4,21.38,0.97,0.29,16.88,2.33,21344316895.0,21344316895.0,-0.19,-0.14,3.27,-9.29
1204,601808,中海油服,13.57,-0.15,-0.02,86089.0,116145743.0,1.55,13.61,13.4,13.55,13.59,1.05,0.29,16.49,1.45,64750503440.0,40173550760.0,0.0,0.0,-0.59,-9.65
830,000895,双汇发展,25.0,0.73,0.18,97302.0,241836706.28,1.25,25.01,24.7,24.81,24.82,1.18,0.28,18.64,4.16,86616530325.0,86605304175.0,0.04,0.12,4.87,1.79
1608,002304,洋河股份,69.32,-0.66,-0.46,41519.0,287677672.74,1.5,69.95,68.9,69.7,69.78,0.86,0.28,12.02,2.13,104426772530.0,104424308204.0,-0.04,-0.01,7.24,-12.12
793,600350,山东高速,8.6,0.82,0.07,131500.0,112585384.0,1.99,8.64,8.47,8.48,8.53,1.02,0.27,12.26,1.43,41577309095.0,41577309095.0,0.0,0.12,-16.34,-12.78
1138,002461,珠江啤酒,10.0,0.0,0.0,59661.0,59321291.28,1.4,10.02,9.88,10.0,10.0,0.83,0.27,18.07,2.06,22133284800.0,22133284800.0,0.0,0.0,-12.43,2.88
703,603195,公牛集团,45.07,1.05,0.47,48646.0,216312134.0,2.51,45.13,44.01,44.38,44.6,1.03,0.27,19.79,5.54,81513047098.0,81158820605.0,0.0,0.02,-5.93,-7.0
1489,603288,海天味业,39.3,-0.53,-0.21,152078.0,600554777.0,2.71,40.09,39.02,39.74,39.51,1.21,0.27,29.38,5.87,229976720299.0,218531601379.0,0.0,0.05,0.51,-12.74
1074,600039,四川路桥,8.49,0.12,0.01,179289.0,151554940.0,1.89,8.54,8.38,8.5,8.48,0.67,0.27,13.28,1.55,73825564576.0,57015160476.0,0.12,0.0,-10.73,23.04
1595,601633,长城汽车,24.5,-0.65,-0.16,163674.0,400033409.0,2.96,24.88,24.15,24.66,24.66,0.95,0.26,16.54,2.49,209667844278.0,152126436228.0,0.04,0.08,16.78,-5.33
1062,603156,养元饮品,21.14,0.14,0.03,31469.0,66174565.0,2.08,21.27,20.83,21.11,21.11,1.19,0.25,17.91,2.94,26642267745.0,26642267745.0,0.0,-0.05,1.25,0.76
1306,000708,中信特钢,12.66,-0.31,-0.04,125397.0,157981978.88,1.73,12.71,12.49,12.68,12.7,0.71,0.25,11.42,1.56,63897014203.0,63897014203.0,0.0,0.0,7.84,16.15
1033,601158,重庆水务,4.66,0.22,0.01,120697.0,55894152.0,1.29,4.67,4.61,4.65,4.65,1.1,0.25,24.42,1.32,22368000000.0,22368000000.0,0.0,0.22,-0.43,-2.31
1664,600000,浦发银行,12.45,-0.72,-0.09,771591.0,962632052.0,2.31,12.65,12.36,12.51,12.54,0.99,0.25,6.38,0.55,379687981618.0,379687981618.0,0.24,0.24,-9.59,26.01
379,601288,农业银行,6.65,2.47,0.16,7449079.0,4930463605.0,5.08,6.72,6.39,6.44,6.49,1.55,0.23,8.34,0.87,2327387175255.0,2122974001667.0,-0.15,0.0,14.07,30.39
567,601658,邮储银行,6.05,1.51,0.09,1538166.0,928951152.0,3.69,6.1,5.88,5.93,5.96,1.3,0.23,7.38,0.73,726575073627.0,406090490960.0,-0.49,-0.33,9.6,11.62
298,601398,工商银行,7.4,3.06,0.22,6288256.0,4616426036.0,3.9,7.41,7.13,7.16,7.18,1.73,0.23,7.84,0.7,2637406302459.0,1995130372789.0,0.14,0.0,-1.33,11.95
516,601988,中国银行,5.3,1.73,0.09,4545931.0,2403683929.0,3.65,5.35,5.16,5.19,5.21,1.6,0.22,7.26,0.65,1707725782614.0,1117057228684.0,0.0,0.0,-6.19,0.57
907,600018,上港集团,5.56,0.54,0.03,477017.0,265040940.0,1.99,5.61,5.5,5.54,5.53,1.13,0.21,8.05,0.95,129444390857.0,129073052312.0,-0.18,0.0,-0.71,-7.02
